year,geo,occ,wage_rate
2010,Ontario,Service representatives and other customer and personal services occupations [65],488.97
2011,Ontario,Service representatives and other customer and personal services occupations [65],507.62
2012,Ontario,Service representatives and other customer and personal services occupations [65],519.32
2013,Ontario,Service representatives and other customer and personal services occupations [65],526.48
2014,Ontario,Service representatives and other customer and personal services occupations [65],525.79
2015,Ontario,Service representatives and other customer and personal services occupations [65],549.48
2016,Ontario,Service representatives and other customer and personal services occupations [65],512.23
2017,Ontario,Service representatives and other customer and personal services occupations [65],529.58
2018,Ontario,Service representatives and other customer and personal services occupations [65],566.63
1997,Ontario,Sales support occupations [66],210.76
1998,Ontario,Sales support occupations [66],224.41
1999,Ontario,Sales support occupations [66],227.36
2000,Ontario,Sales support occupations [66],223.33
2001,Ontario,Sales support occupations [66],221.88
2002,Ontario,Sales support occupations [66],232.65
2003,Ontario,Sales support occupations [66],236.4
2004,Ontario,Sales support occupations [66],238.3
2005,Ontario,Sales support occupations [66],242.15
2006,Ontario,Sales support occupations [66],252.77
2007,Ontario,Sales support occupations [66],260.52
2008,Ontario,Sales support occupations [66],262.71
2009,Ontario,Sales support occupations [66],266.65
2010,Ontario,Sales support occupations [66],278.88
2011,Ontario,Sales support occupations [66],300.9
2012,Ontario,Sales support occupations [66],295.64
2013,Ontario,Sales support occupations [66],297.82
2014,Ontario,Sales support occupations [66],302.73
2015,Ontario,Sales support occupations [66],315.24
2016,Ontario,Sales support occupations [66],334.7
2017,Ontario,Sales support occupations [66],339.26
2018,Ontario,Sales support occupations [66],374.43
1997,Ontario,"Service support and other service occupations, n.e.c. [67]",302.31
1998,Ontario,"Service support and other service occupations, n.e.c. [67]",307.8
1999,Ontario,"Service support and other service occupations, n.e.c. [67]",310.33
2000,Ontario,"Service support and other service occupations, n.e.c. [67]",310.08
2001,Ontario,"Service support and other service occupations, n.e.c. [67]",311.7
2002,Ontario,"Service support and other service occupations, n.e.c. [67]",312.6
2003,Ontario,"Service support and other service occupations, n.e.c. [67]",327.94
2004,Ontario,"Service support and other service occupations, n.e.c. [67]",335.81
2005,Ontario,"Service support and other service occupations, n.e.c. [67]",361.59
2006,Ontario,"Service support and other service occupations, n.e.c. [67]",365.72
2007,Ontario,"Service support and other service occupations, n.e.c. [67]",386.52
2008,Ontario,"Service support and other service occupations, n.e.c. [67]",376.6
2009,Ontario,"Service support and other service occupations, n.e.c. [67]",395.89
2010,Ontario,"Service support and other service occupations, n.e.c. [67]",403.45
2011,Ontario,"Service support and other service occupations, n.e.c. [67]",405.13
2012,Ontario,"Service support and other service occupations, n.e.c. [67]",422.22
2013,Ontario,"Service support and other service occupations, n.e.c. [67]",428.55
2014,Ontario,"Service support and other service occupations, n.e.c. [67]",436.33
2015,Ontario,"Service support and other service occupations, n.e.c. [67]",425.82
2016,Ontario,"Service support and other service occupations, n.e.c. [67]",442.47
2017,Ontario,"Service support and other service occupations, n.e.c. [67]",438.29
2018,Ontario,"Service support and other service occupations, n.e.c. [67]",486.53
1997,Ontario,"Trades, transport and equipment operators and related occupations [7]",662.41
1998,Ontario,"Trades, transport and equipment operators and related occupations [7]",675.2
1999,Ontario,"Trades, transport and equipment operators and related occupations [7]",686.79
2000,Ontario,"Trades, transport and equipment operators and related occupations [7]",718.22
2001,Ontario,"Trades, transport and equipment operators and related occupations [7]",732.21
2002,Ontario,"Trades, transport and equipment operators and related occupations [7]",750.98
2003,Ontario,"Trades, transport and equipment operators and related occupations [7]",764.28
2004,Ontario,"Trades, transport and equipment operators and related occupations [7]",769.14
2005,Ontario,"Trades, transport and equipment operators and related occupations [7]",792.65
2006,Ontario,"Trades, transport and equipment operators and related occupations [7]",803.02
2007,Ontario,"Trades, transport and equipment operators and related occupations [7]",837.75
2008,Ontario,"Trades, transport and equipment operators and related occupations [7]",850.81
2009,Ontario,"Trades, transport and equipment operators and related occupations [7]",857.3
2010,Ontario,"Trades, transport and equipment operators and related occupations [7]",883.77
2011,Ontario,"Trades, transport and equipment operators and related occupations [7]",904.96
2012,Ontario,"Trades, transport and equipment operators and related occupations [7]",909.18
2013,Ontario,"Trades, transport and equipment operators and related occupations [7]",916.36
2014,Ontario,"Trades, transport and equipment operators and related occupations [7]",933.67
2015,Ontario,"Trades, transport and equipment operators and related occupations [7]",970.12
2016,Ontario,"Trades, transport and equipment operators and related occupations [7]",990.84
2017,Ontario,"Trades, transport and equipment operators and related occupations [7]",1001.53
2018,Ontario,"Trades, transport and equipment operators and related occupations [7]",1031.57
1997,Ontario,"Industrial, electrical and construction trades [72]",736
1998,Ontario,"Industrial, electrical and construction trades [72]",754.28
1999,Ontario,"Industrial, electrical and construction trades [72]",768.84
2000,Ontario,"Industrial, electrical and construction trades [72]",803.15
2001,Ontario,"Industrial, electrical and construction trades [72]",808.53
2002,Ontario,"Industrial, electrical and construction trades [72]",824.18
2003,Ontario,"Industrial, electrical and construction trades [72]",856.21
2004,Ontario,"Industrial, electrical and construction trades [72]",852.94
2005,Ontario,"Industrial, electrical and construction trades [72]",873.88
2006,Ontario,"Industrial, electrical and construction trades [72]",885.28
2007,Ontario,"Industrial, electrical and construction trades [72]",929.98
2008,Ontario,"Industrial, electrical and construction trades [72]",926.38
2009,Ontario,"Industrial, electrical and construction trades [72]",961.62
2010,Ontario,"Industrial, electrical and construction trades [72]",985.99
2011,Ontario,"Industrial, electrical and construction trades [72]",1005.37
2012,Ontario,"Industrial, electrical and construction trades [72]",1008.86
2013,Ontario,"Industrial, electrical and construction trades [72]",1039.57
2014,Ontario,"Industrial, electrical and construction trades [72]",1047.57
2015,Ontario,"Industrial, electrical and construction trades [72]",1107.21
2016,Ontario,"Industrial, electrical and construction trades [72]",1126.63
2017,Ontario,"Industrial, electrical and construction trades [72]",1118.41
2018,Ontario,"Industrial, electrical and construction trades [72]",1144.26
1997,Ontario,Maintenance and equipment operation trades [73],729.13
1998,Ontario,Maintenance and equipment operation trades [73],742.54
1999,Ontario,Maintenance and equipment operation trades [73],755.9
2000,Ontario,Maintenance and equipment operation trades [73],798.43
2001,Ontario,Maintenance and equipment operation trades [73],818.64
2002,Ontario,Maintenance and equipment operation trades [73],827.98
2003,Ontario,Maintenance and equipment operation trades [73],845.76
2004,Ontario,Maintenance and equipment operation trades [73],868.26
2005,Ontario,Maintenance and equipment operation trades [73],881.45
2006,Ontario,Maintenance and equipment operation trades [73],900.47
2007,Ontario,Maintenance and equipment operation trades [73],921.97
2008,Ontario,Maintenance and equipment operation trades [73],957.85
2009,Ontario,Maintenance and equipment operation trades [73],979.66
2010,Ontario,Maintenance and equipment operation trades [73],978.97
2011,Ontario,Maintenance and equipment operation trades [73],1013.62
2012,Ontario,Maintenance and equipment operation trades [73],1019.66
2013,Ontario,Maintenance and equipment operation trades [73],1025.12
2014,Ontario,Maintenance and equipment operation trades [73],1054.47
2015,Ontario,Maintenance and equipment operation trades [73],1108.43
2016,Ontario,Maintenance and equipment operation trades [73],1126.03
2017,Ontario,Maintenance and equipment operation trades [73],1137.1
2018,Ontario,Maintenance and equipment operation trades [73],1185.63
1997,Ontario,"Other installers, repairers and servicers and material handlers [74]",494.31
1998,Ontario,"Other installers, repairers and servicers and material handlers [74]",483.59
1999,Ontario,"Other installers, repairers and servicers and material handlers [74]",519.95
2000,Ontario,"Other installers, repairers and servicers and material handlers [74]",535.65
2001,Ontario,"Other installers, repairers and servicers and material handlers [74]",546.89
2002,Ontario,"Other installers, repairers and servicers and material handlers [74]",570.1
2003,Ontario,"Other installers, repairers and servicers and material handlers [74]",561.95
2004,Ontario,"Other installers, repairers and servicers and material handlers [74]",590.61
2005,Ontario,"Other installers, repairers and servicers and material handlers [74]",586.13
2006,Ontario,"Other installers, repairers and servicers and material handlers [74]",612.69
2007,Ontario,"Other installers, repairers and servicers and material handlers [74]",624.57
2008,Ontario,"Other installers, repairers and servicers and material handlers [74]",659.55
2009,Ontario,"Other installers, repairers and servicers and material handlers [74]",639.54
2010,Ontario,"Other installers, repairers and servicers and material handlers [74]",661.8
2011,Ontario,"Other installers, repairers and servicers and material handlers [74]",663.76
2012,Ontario,"Other installers, repairers and servicers and material handlers [74]",673.36
2013,Ontario,"Other installers, repairers and servicers and material handlers [74]",678.02
2014,Ontario,"Other installers, repairers and servicers and material handlers [74]",691.91
2015,Ontario,"Other installers, repairers and servicers and material handlers [74]",689.95
2016,Ontario,"Other installers, repairers and servicers and material handlers [74]",718.42
2017,Ontario,"Other installers, repairers and servicers and material handlers [74]",759.87
2018,Ontario,"Other installers, repairers and servicers and material handlers [74]",775.45
1997,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],588.38
1998,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],620.7
1999,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],620.76
2000,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],646.68
2001,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],659.52
2002,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],691.24
2003,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],699.96
2004,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],692.14
2005,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],730.37
2006,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],734.75
2007,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],774.22
2008,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],778.43
2009,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],762.78
2010,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],802.66
2011,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],825.21
2012,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],832.3
2013,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],823.56
2014,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],833.62
2015,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],866.86
2016,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],861.17
2017,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],907.67
2018,Ontario,Transport and heavy equipment operation and related maintenance occupations [75],917.97
1997,Ontario,"Trades helpers, construction labourers and related occupations [76]",593.98
1998,Ontario,"Trades helpers, construction labourers and related occupations [76]",594.23
1999,Ontario,"Trades helpers, construction labourers and related occupations [76]",574.76
2000,Ontario,"Trades helpers, construction labourers and related occupations [76]",575.39
2001,Ontario,"Trades helpers, construction labourers and related occupations [76]",619.92
2002,Ontario,"Trades helpers, construction labourers and related occupations [76]",624.07
2003,Ontario,"Trades helpers, construction labourers and related occupations [76]",645.36
2004,Ontario,"Trades helpers, construction labourers and related occupations [76]",644.43
2005,Ontario,"Trades helpers, construction labourers and related occupations [76]",681.04
2006,Ontario,"Trades helpers, construction labourers and related occupations [76]",712.98
2007,Ontario,"Trades helpers, construction labourers and related occupations [76]",735.28
2008,Ontario,"Trades helpers, construction labourers and related occupations [76]",742
2009,Ontario,"Trades helpers, construction labourers and related occupations [76]",727.8
2010,Ontario,"Trades helpers, construction labourers and related occupations [76]",753.62
2011,Ontario,"Trades helpers, construction labourers and related occupations [76]",791.13
2012,Ontario,"Trades helpers, construction labourers and related occupations [76]",797.77
2013,Ontario,"Trades helpers, construction labourers and related occupations [76]",834.99
2014,Ontario,"Trades helpers, construction labourers and related occupations [76]",812.8
2015,Ontario,"Trades helpers, construction labourers and related occupations [76]",804.97
2016,Ontario,"Trades helpers, construction labourers and related occupations [76]",843.81
2017,Ontario,"Trades helpers, construction labourers and related occupations [76]",855.06
2018,Ontario,"Trades helpers, construction labourers and related occupations [76]",907.19
1997,Ontario,"Natural resources, agriculture and related production occupations [8]",511.43
1998,Ontario,"Natural resources, agriculture and related production occupations [8]",490.95
1999,Ontario,"Natural resources, agriculture and related production occupations [8]",485.14
2000,Ontario,"Natural resources, agriculture and related production occupations [8]",494.72
2001,Ontario,"Natural resources, agriculture and related production occupations [8]",537.64
2002,Ontario,"Natural resources, agriculture and related production occupations [8]",542.57
2003,Ontario,"Natural resources, agriculture and related production occupations [8]",548.55
2004,Ontario,"Natural resources, agriculture and related production occupations [8]",539.8
2005,Ontario,"Natural resources, agriculture and related production occupations [8]",560.44
2006,Ontario,"Natural resources, agriculture and related production occupations [8]",584.91
2007,Ontario,"Natural resources, agriculture and related production occupations [8]",591.68
2008,Ontario,"Natural resources, agriculture and related production occupations [8]",649.31
2009,Ontario,"Natural resources, agriculture and related production occupations [8]",608.73
2010,Ontario,"Natural resources, agriculture and related production occupations [8]",659.4
2011,Ontario,"Natural resources, agriculture and related production occupations [8]",690.03
2012,Ontario,"Natural resources, agriculture and related production occupations [8]",719.87
2013,Ontario,"Natural resources, agriculture and related production occupations [8]",725.74
2014,Ontario,"Natural resources, agriculture and related production occupations [8]",711.28
2015,Ontario,"Natural resources, agriculture and related production occupations [8]",785.47
2016,Ontario,"Natural resources, agriculture and related production occupations [8]",747.25
2017,Ontario,"Natural resources, agriculture and related production occupations [8]",769.92
2018,Ontario,"Natural resources, agriculture and related production occupations [8]",862.16
1997,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",793.04
1998,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",768.54
1999,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",808.92
2000,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",843.43
2001,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",927.86
2002,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",904.25
2003,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",899.87
2004,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",879.25
2005,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",913.3
2006,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",961.65
2007,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1003.99
2008,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",985.4
2009,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",987.23
2010,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1018.32
2011,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1206.36
2012,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1160.61
2013,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1205.28
2014,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1184.35
2015,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1190.27
2016,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1143.74
2017,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1166.15
2018,Ontario,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",1330.87
1997,Ontario,"Workers in natural resources, agriculture and related production [84]",422.1
1998,Ontario,"Workers in natural resources, agriculture and related production [84]",433.1
1999,Ontario,"Workers in natural resources, agriculture and related production [84]",391.53
2000,Ontario,"Workers in natural resources, agriculture and related production [84]",405.21
2001,Ontario,"Workers in natural resources, agriculture and related production [84]",432.63
2002,Ontario,"Workers in natural resources, agriculture and related production [84]",442.29
2003,Ontario,"Workers in natural resources, agriculture and related production [84]",401.48
2004,Ontario,"Workers in natural resources, agriculture and related production [84]",414.65
2005,Ontario,"Workers in natural resources, agriculture and related production [84]",455.38
2006,Ontario,"Workers in natural resources, agriculture and related production [84]",492.49
2007,Ontario,"Workers in natural resources, agriculture and related production [84]",446.58
2008,Ontario,"Workers in natural resources, agriculture and related production [84]",492.12
2009,Ontario,"Workers in natural resources, agriculture and related production [84]",502.39
2010,Ontario,"Workers in natural resources, agriculture and related production [84]",521.09
2011,Ontario,"Workers in natural resources, agriculture and related production [84]",509.97
2012,Ontario,"Workers in natural resources, agriculture and related production [84]",593.39
2013,Ontario,"Workers in natural resources, agriculture and related production [84]",549.81
2014,Ontario,"Workers in natural resources, agriculture and related production [84]",603.24
2015,Ontario,"Workers in natural resources, agriculture and related production [84]",658.36
2016,Ontario,"Workers in natural resources, agriculture and related production [84]",588.24
2017,Ontario,"Workers in natural resources, agriculture and related production [84]",624.46
2018,Ontario,"Workers in natural resources, agriculture and related production [84]",711.43
1997,Ontario,"Harvesting, landscaping and natural resources labourers [86]",454.6
1998,Ontario,"Harvesting, landscaping and natural resources labourers [86]",409.54
1999,Ontario,"Harvesting, landscaping and natural resources labourers [86]",449.98
2000,Ontario,"Harvesting, landscaping and natural resources labourers [86]",464.82
2001,Ontario,"Harvesting, landscaping and natural resources labourers [86]",463.65
2002,Ontario,"Harvesting, landscaping and natural resources labourers [86]",453.41
2003,Ontario,"Harvesting, landscaping and natural resources labourers [86]",479.61
2004,Ontario,"Harvesting, landscaping and natural resources labourers [86]",471.61
2005,Ontario,"Harvesting, landscaping and natural resources labourers [86]",488.95
2006,Ontario,"Harvesting, landscaping and natural resources labourers [86]",502.45
2007,Ontario,"Harvesting, landscaping and natural resources labourers [86]",530.01
2008,Ontario,"Harvesting, landscaping and natural resources labourers [86]",563.16
2009,Ontario,"Harvesting, landscaping and natural resources labourers [86]",542.54
2010,Ontario,"Harvesting, landscaping and natural resources labourers [86]",587.73
2011,Ontario,"Harvesting, landscaping and natural resources labourers [86]",593.89
2012,Ontario,"Harvesting, landscaping and natural resources labourers [86]",611.4
2013,Ontario,"Harvesting, landscaping and natural resources labourers [86]",631.57
2014,Ontario,"Harvesting, landscaping and natural resources labourers [86]",601.39
2015,Ontario,"Harvesting, landscaping and natural resources labourers [86]",650.11
2016,Ontario,"Harvesting, landscaping and natural resources labourers [86]",633.79
2017,Ontario,"Harvesting, landscaping and natural resources labourers [86]",652.49
2018,Ontario,"Harvesting, landscaping and natural resources labourers [86]",696.18
1997,Ontario,Occupations in manufacturing and utilities [9],590.2
1998,Ontario,Occupations in manufacturing and utilities [9],605.24
1999,Ontario,Occupations in manufacturing and utilities [9],599.34
2000,Ontario,Occupations in manufacturing and utilities [9],621.06
2001,Ontario,Occupations in manufacturing and utilities [9],646.79
2002,Ontario,Occupations in manufacturing and utilities [9],646.32
2003,Ontario,Occupations in manufacturing and utilities [9],669.16
2004,Ontario,Occupations in manufacturing and utilities [9],680.61
2005,Ontario,Occupations in manufacturing and utilities [9],699.54
2006,Ontario,Occupations in manufacturing and utilities [9],718.86
2007,Ontario,Occupations in manufacturing and utilities [9],730.43
2008,Ontario,Occupations in manufacturing and utilities [9],753.24
2009,Ontario,Occupations in manufacturing and utilities [9],756.92
2010,Ontario,Occupations in manufacturing and utilities [9],762.62
2011,Ontario,Occupations in manufacturing and utilities [9],779.97
2012,Ontario,Occupations in manufacturing and utilities [9],780.68
2013,Ontario,Occupations in manufacturing and utilities [9],802.23
2014,Ontario,Occupations in manufacturing and utilities [9],835.92
2015,Ontario,Occupations in manufacturing and utilities [9],821.07
2016,Ontario,Occupations in manufacturing and utilities [9],834.91
2017,Ontario,Occupations in manufacturing and utilities [9],840.58
2018,Ontario,Occupations in manufacturing and utilities [9],873.86
1997,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",830.06
1998,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",829.49
1999,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",858.11
2000,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",843.66
2001,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",889.57
2002,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",894.2
2003,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",939.02
2004,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",975.69
2005,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",973.92
2006,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1007.11
2007,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1056.12
2008,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1047.57
2009,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1067.3
2010,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1059.03
2011,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1064.8
2012,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1076.3
2013,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1131.39
2014,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1196.98
2015,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1158.38
2016,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1195.1
2017,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1203.97
2018,Ontario,"Processing, manufacturing and utilities supervisors and central control operators [92]",1204.93
1997,Ontario,Processing and manufacturing machine operators and related production workers [94],545.01
1998,Ontario,Processing and manufacturing machine operators and related production workers [94],569.38
1999,Ontario,Processing and manufacturing machine operators and related production workers [94],555.37
2000,Ontario,Processing and manufacturing machine operators and related production workers [94],585.63
2001,Ontario,Processing and manufacturing machine operators and related production workers [94],601.97
2002,Ontario,Processing and manufacturing machine operators and related production workers [94],605.06
2003,Ontario,Processing and manufacturing machine operators and related production workers [94],630.82
2004,Ontario,Processing and manufacturing machine operators and related production workers [94],633.91
2005,Ontario,Processing and manufacturing machine operators and related production workers [94],665.14
2006,Ontario,Processing and manufacturing machine operators and related production workers [94],674.09
2007,Ontario,Processing and manufacturing machine operators and related production workers [94],677.05
2008,Ontario,Processing and manufacturing machine operators and related production workers [94],692.71
2009,Ontario,Processing and manufacturing machine operators and related production workers [94],687.9
2010,Ontario,Processing and manufacturing machine operators and related production workers [94],714.81
2011,Ontario,Processing and manufacturing machine operators and related production workers [94],725.52
2012,Ontario,Processing and manufacturing machine operators and related production workers [94],741.37
2013,Ontario,Processing and manufacturing machine operators and related production workers [94],721.79
2014,Ontario,Processing and manufacturing machine operators and related production workers [94],757.04
2015,Ontario,Processing and manufacturing machine operators and related production workers [94],777.72
2016,Ontario,Processing and manufacturing machine operators and related production workers [94],768.37
2017,Ontario,Processing and manufacturing machine operators and related production workers [94],772.95
2018,Ontario,Processing and manufacturing machine operators and related production workers [94],809.78
1997,Ontario,Assemblers in manufacturing [95],602.56
1998,Ontario,Assemblers in manufacturing [95],611.89
1999,Ontario,Assemblers in manufacturing [95],619.33
2000,Ontario,Assemblers in manufacturing [95],633.57
2001,Ontario,Assemblers in manufacturing [95],674.12
2002,Ontario,Assemblers in manufacturing [95],668.03
2003,Ontario,Assemblers in manufacturing [95],684.14
2004,Ontario,Assemblers in manufacturing [95],700.06
2005,Ontario,Assemblers in manufacturing [95],736.47
2006,Ontario,Assemblers in manufacturing [95],755.46
2007,Ontario,Assemblers in manufacturing [95],748.51
2008,Ontario,Assemblers in manufacturing [95],794.03
2009,Ontario,Assemblers in manufacturing [95],801.35
2010,Ontario,Assemblers in manufacturing [95],789.07
2011,Ontario,Assemblers in manufacturing [95],822.73
2012,Ontario,Assemblers in manufacturing [95],798.13
2013,Ontario,Assemblers in manufacturing [95],821.74
2014,Ontario,Assemblers in manufacturing [95],844.91
2015,Ontario,Assemblers in manufacturing [95],827.97
2016,Ontario,Assemblers in manufacturing [95],823.04
2017,Ontario,Assemblers in manufacturing [95],837.1
2018,Ontario,Assemblers in manufacturing [95],867.68
1997,Ontario,"Labourers in processing, manufacturing and utilities [96]",503.14
1998,Ontario,"Labourers in processing, manufacturing and utilities [96]",506.93
1999,Ontario,"Labourers in processing, manufacturing and utilities [96]",484.42
2000,Ontario,"Labourers in processing, manufacturing and utilities [96]",502.06
2001,Ontario,"Labourers in processing, manufacturing and utilities [96]",506.27
2002,Ontario,"Labourers in processing, manufacturing and utilities [96]",505.84
2003,Ontario,"Labourers in processing, manufacturing and utilities [96]",510.63
2004,Ontario,"Labourers in processing, manufacturing and utilities [96]",523.67
2005,Ontario,"Labourers in processing, manufacturing and utilities [96]",534.67
2006,Ontario,"Labourers in processing, manufacturing and utilities [96]",564.63
2007,Ontario,"Labourers in processing, manufacturing and utilities [96]",562.36
2008,Ontario,"Labourers in processing, manufacturing and utilities [96]",560.25
2009,Ontario,"Labourers in processing, manufacturing and utilities [96]",554.56
2010,Ontario,"Labourers in processing, manufacturing and utilities [96]",562.38
2011,Ontario,"Labourers in processing, manufacturing and utilities [96]",576.74
2012,Ontario,"Labourers in processing, manufacturing and utilities [96]",592.16
2013,Ontario,"Labourers in processing, manufacturing and utilities [96]",609.55
2014,Ontario,"Labourers in processing, manufacturing and utilities [96]",621.66
2015,Ontario,"Labourers in processing, manufacturing and utilities [96]",622.61
2016,Ontario,"Labourers in processing, manufacturing and utilities [96]",627.78
2017,Ontario,"Labourers in processing, manufacturing and utilities [96]",637.4
2018,Ontario,"Labourers in processing, manufacturing and utilities [96]",685.56
1997,Manitoba,"Total employees, all occupations",509.66
1998,Manitoba,"Total employees, all occupations",518.03
1999,Manitoba,"Total employees, all occupations",532.98
2000,Manitoba,"Total employees, all occupations",551.93
2001,Manitoba,"Total employees, all occupations",561.84
2002,Manitoba,"Total employees, all occupations",574.75
2003,Manitoba,"Total employees, all occupations",588.99
2004,Manitoba,"Total employees, all occupations",613.7
2005,Manitoba,"Total employees, all occupations",625.93
2006,Manitoba,"Total employees, all occupations",641.62
2007,Manitoba,"Total employees, all occupations",674.3
2008,Manitoba,"Total employees, all occupations",704.28
2009,Manitoba,"Total employees, all occupations",723.04
2010,Manitoba,"Total employees, all occupations",742.28
2011,Manitoba,"Total employees, all occupations",761.25
2012,Manitoba,"Total employees, all occupations",777.4
2013,Manitoba,"Total employees, all occupations",791.41
2014,Manitoba,"Total employees, all occupations",813.59
2015,Manitoba,"Total employees, all occupations",841.87
2016,Manitoba,"Total employees, all occupations",857
2017,Manitoba,"Total employees, all occupations",879.03
2018,Manitoba,"Total employees, all occupations",890.03
1997,Manitoba,Management occupations [0],761.56
1998,Manitoba,Management occupations [0],755.1
1999,Manitoba,Management occupations [0],857.37
2000,Manitoba,Management occupations [0],904.7
2001,Manitoba,Management occupations [0],940.18
2002,Manitoba,Management occupations [0],1002.69
2003,Manitoba,Management occupations [0],968.67
2004,Manitoba,Management occupations [0],1043.31
2005,Manitoba,Management occupations [0],1021.03
2006,Manitoba,Management occupations [0],1076
2007,Manitoba,Management occupations [0],1134.77
2008,Manitoba,Management occupations [0],1180.24
2009,Manitoba,Management occupations [0],1182.71
2010,Manitoba,Management occupations [0],1250.76
2011,Manitoba,Management occupations [0],1251.1
2012,Manitoba,Management occupations [0],1342.67
2013,Manitoba,Management occupations [0],1359.46
2014,Manitoba,Management occupations [0],1347.41
2015,Manitoba,Management occupations [0],1457.74
2016,Manitoba,Management occupations [0],1528.25
2017,Manitoba,Management occupations [0],1541.49
2018,Manitoba,Management occupations [0],1548.59
1997,Manitoba,Senior management occupations [00],1011.25
1998,Manitoba,Senior management occupations [00],961.22
1999,Manitoba,Senior management occupations [00],1181.79
2000,Manitoba,Senior management occupations [00],1321.28
2001,Manitoba,Senior management occupations [00],1164.03
2002,Manitoba,Senior management occupations [00],1206.14
2003,Manitoba,Senior management occupations [00],1333.49
2004,Manitoba,Senior management occupations [00],1345.19
2005,Manitoba,Senior management occupations [00],1076.17
2006,Manitoba,Senior management occupations [00],1341.59
2007,Manitoba,Senior management occupations [00],1334.88
2008,Manitoba,Senior management occupations [00],1400.87
2009,Manitoba,Senior management occupations [00],1497.53
2010,Manitoba,Senior management occupations [00],1527.57
2011,Manitoba,Senior management occupations [00],1402.17
2012,Manitoba,Senior management occupations [00],1664.43
2013,Manitoba,Senior management occupations [00],1758.96
2014,Manitoba,Senior management occupations [00],1564.64
2015,Manitoba,Senior management occupations [00],1965.39
2016,Manitoba,Senior management occupations [00],1618.79
