year,geo,naics,wage_rate
2014,Alberta,"Information, culture and recreation [51, 71]",398.61
2015,Alberta,"Information, culture and recreation [51, 71]",411.1
2016,Alberta,"Information, culture and recreation [51, 71]",389.98
2017,Alberta,"Information, culture and recreation [51, 71]",412
2018,Alberta,"Information, culture and recreation [51, 71]",430.19
2019,Alberta,"Information, culture and recreation [51, 71]",416.44
2020,Alberta,"Information, culture and recreation [51, 71]",450.69
1997,British Columbia,"Information, culture and recreation [51, 71]",330.8
1998,British Columbia,"Information, culture and recreation [51, 71]",355.66
1999,British Columbia,"Information, culture and recreation [51, 71]",325.09
2000,British Columbia,"Information, culture and recreation [51, 71]",380.79
2001,British Columbia,"Information, culture and recreation [51, 71]",402.35
2002,British Columbia,"Information, culture and recreation [51, 71]",433.04
2003,British Columbia,"Information, culture and recreation [51, 71]",414.89
2004,British Columbia,"Information, culture and recreation [51, 71]",432.78
2005,British Columbia,"Information, culture and recreation [51, 71]",435.83
2006,British Columbia,"Information, culture and recreation [51, 71]",458.42
2007,British Columbia,"Information, culture and recreation [51, 71]",480.28
2008,British Columbia,"Information, culture and recreation [51, 71]",476.7
2009,British Columbia,"Information, culture and recreation [51, 71]",503.74
2010,British Columbia,"Information, culture and recreation [51, 71]",521.7
2011,British Columbia,"Information, culture and recreation [51, 71]",563.58
2012,British Columbia,"Information, culture and recreation [51, 71]",585.24
2013,British Columbia,"Information, culture and recreation [51, 71]",608.78
2014,British Columbia,"Information, culture and recreation [51, 71]",615.68
2015,British Columbia,"Information, culture and recreation [51, 71]",606.7
2016,British Columbia,"Information, culture and recreation [51, 71]",608.04
2017,British Columbia,"Information, culture and recreation [51, 71]",612.83
2018,British Columbia,"Information, culture and recreation [51, 71]",639.18
2019,British Columbia,"Information, culture and recreation [51, 71]",628.58
2020,British Columbia,"Information, culture and recreation [51, 71]",687.52
1997,Manitoba,"Information, culture and recreation [51, 71]",578.44
1998,Manitoba,"Information, culture and recreation [51, 71]",585.2
1999,Manitoba,"Information, culture and recreation [51, 71]",606.65
2000,Manitoba,"Information, culture and recreation [51, 71]",603.77
2001,Manitoba,"Information, culture and recreation [51, 71]",628
2002,Manitoba,"Information, culture and recreation [51, 71]",630.04
2003,Manitoba,"Information, culture and recreation [51, 71]",664.99
2004,Manitoba,"Information, culture and recreation [51, 71]",663.16
2005,Manitoba,"Information, culture and recreation [51, 71]",695.25
2006,Manitoba,"Information, culture and recreation [51, 71]",738.28
2007,Manitoba,"Information, culture and recreation [51, 71]",766.1
2008,Manitoba,"Information, culture and recreation [51, 71]",779.57
2009,Manitoba,"Information, culture and recreation [51, 71]",819.06
2010,Manitoba,"Information, culture and recreation [51, 71]",833.53
2011,Manitoba,"Information, culture and recreation [51, 71]",921.19
2012,Manitoba,"Information, culture and recreation [51, 71]",930.1
2013,Manitoba,"Information, culture and recreation [51, 71]",929.71
2014,Manitoba,"Information, culture and recreation [51, 71]",966.26
2015,Manitoba,"Information, culture and recreation [51, 71]",949.32
2016,Manitoba,"Information, culture and recreation [51, 71]",962.1
2017,Manitoba,"Information, culture and recreation [51, 71]",1003.74
2018,Manitoba,"Information, culture and recreation [51, 71]",989.41
2019,Manitoba,"Information, culture and recreation [51, 71]",1039.62
2020,Manitoba,"Information, culture and recreation [51, 71]",1081.06
1997,New Brunswick,"Information, culture and recreation [51, 71]",615.76
1998,New Brunswick,"Information, culture and recreation [51, 71]",638.94
1999,New Brunswick,"Information, culture and recreation [51, 71]",610.87
2000,New Brunswick,"Information, culture and recreation [51, 71]",641.16
2001,New Brunswick,"Information, culture and recreation [51, 71]",664.15
2002,New Brunswick,"Information, culture and recreation [51, 71]",689.21
2003,New Brunswick,"Information, culture and recreation [51, 71]",701
2004,New Brunswick,"Information, culture and recreation [51, 71]",733.08
2005,New Brunswick,"Information, culture and recreation [51, 71]",747.3
2006,New Brunswick,"Information, culture and recreation [51, 71]",701.19
2007,New Brunswick,"Information, culture and recreation [51, 71]",757.77
2008,New Brunswick,"Information, culture and recreation [51, 71]",838.34
2009,New Brunswick,"Information, culture and recreation [51, 71]",849.52
2010,New Brunswick,"Information, culture and recreation [51, 71]",892.82
2011,New Brunswick,"Information, culture and recreation [51, 71]",874.84
2012,New Brunswick,"Information, culture and recreation [51, 71]",911.22
2013,New Brunswick,"Information, culture and recreation [51, 71]",934.79
2014,New Brunswick,"Information, culture and recreation [51, 71]",926.46
2015,New Brunswick,"Information, culture and recreation [51, 71]",951.87
2016,New Brunswick,"Information, culture and recreation [51, 71]",1025.71
2017,New Brunswick,"Information, culture and recreation [51, 71]",1027.86
2018,New Brunswick,"Information, culture and recreation [51, 71]",1055.98
2019,New Brunswick,"Information, culture and recreation [51, 71]",1001.48
2020,New Brunswick,"Information, culture and recreation [51, 71]",1082.35
1997,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",527.57
1998,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",532.54
1999,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",535.99
2000,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",567.86
2001,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",584.17
2002,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",593.75
2003,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",637.18
2004,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",630.74
2005,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",641.73
2006,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",656.01
2007,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",667.46
2008,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",735.02
2009,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",787.42
2010,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",807.1
2011,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",807.57
2012,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",836.63
2013,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",848.08
2014,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",857.59
2015,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",881.45
2016,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",835.57
2017,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",935.3
2018,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",866.69
2019,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",926.35
2020,Newfoundland and Labrador,"Information, culture and recreation [51, 71]",1058.92
1997,Nova Scotia,"Information, culture and recreation [51, 71]",450.91
1998,Nova Scotia,"Information, culture and recreation [51, 71]",464.71
1999,Nova Scotia,"Information, culture and recreation [51, 71]",490.92
2000,Nova Scotia,"Information, culture and recreation [51, 71]",507.39
2001,Nova Scotia,"Information, culture and recreation [51, 71]",539.4
2002,Nova Scotia,"Information, culture and recreation [51, 71]",562.32
2003,Nova Scotia,"Information, culture and recreation [51, 71]",571.35
2004,Nova Scotia,"Information, culture and recreation [51, 71]",624.53
2005,Nova Scotia,"Information, culture and recreation [51, 71]",635.52
2006,Nova Scotia,"Information, culture and recreation [51, 71]",668.65
2007,Nova Scotia,"Information, culture and recreation [51, 71]",681.36
2008,Nova Scotia,"Information, culture and recreation [51, 71]",696.4
2009,Nova Scotia,"Information, culture and recreation [51, 71]",746.93
2010,Nova Scotia,"Information, culture and recreation [51, 71]",747.99
2011,Nova Scotia,"Information, culture and recreation [51, 71]",784.41
2012,Nova Scotia,"Information, culture and recreation [51, 71]",808.83
2013,Nova Scotia,"Information, culture and recreation [51, 71]",801.49
2014,Nova Scotia,"Information, culture and recreation [51, 71]",833.47
2015,Nova Scotia,"Information, culture and recreation [51, 71]",856.42
2016,Nova Scotia,"Information, culture and recreation [51, 71]",875.44
2017,Nova Scotia,"Information, culture and recreation [51, 71]",889.51
2018,Nova Scotia,"Information, culture and recreation [51, 71]",910.78
2019,Nova Scotia,"Information, culture and recreation [51, 71]",915.7
2020,Nova Scotia,"Information, culture and recreation [51, 71]",971.26
1997,Ontario,"Information, culture and recreation [51, 71]",435.81
1998,Ontario,"Information, culture and recreation [51, 71]",463.4
1999,Ontario,"Information, culture and recreation [51, 71]",512.91
2000,Ontario,"Information, culture and recreation [51, 71]",572.91
2001,Ontario,"Information, culture and recreation [51, 71]",524.23
2002,Ontario,"Information, culture and recreation [51, 71]",523.77
2003,Ontario,"Information, culture and recreation [51, 71]",549.46
2004,Ontario,"Information, culture and recreation [51, 71]",539.22
2005,Ontario,"Information, culture and recreation [51, 71]",540.31
2006,Ontario,"Information, culture and recreation [51, 71]",592.7
2007,Ontario,"Information, culture and recreation [51, 71]",638.72
2008,Ontario,"Information, culture and recreation [51, 71]",624.18
2009,Ontario,"Information, culture and recreation [51, 71]",706.17
2010,Ontario,"Information, culture and recreation [51, 71]",692.2
2011,Ontario,"Information, culture and recreation [51, 71]",684.86
2012,Ontario,"Information, culture and recreation [51, 71]",634.47
2013,Ontario,"Information, culture and recreation [51, 71]",673.98
2014,Ontario,"Information, culture and recreation [51, 71]",772.17
2015,Ontario,"Information, culture and recreation [51, 71]",746.96
2016,Ontario,"Information, culture and recreation [51, 71]",782.65
2017,Ontario,"Information, culture and recreation [51, 71]",725.33
2018,Ontario,"Information, culture and recreation [51, 71]",772.59
2019,Ontario,"Information, culture and recreation [51, 71]",764.28
2020,Ontario,"Information, culture and recreation [51, 71]",884.48
1997,Prince Edward Island,"Information, culture and recreation [51, 71]",570.88
1998,Prince Edward Island,"Information, culture and recreation [51, 71]",566.96
1999,Prince Edward Island,"Information, culture and recreation [51, 71]",595.39
2000,Prince Edward Island,"Information, culture and recreation [51, 71]",597.58
2001,Prince Edward Island,"Information, culture and recreation [51, 71]",634.46
2002,Prince Edward Island,"Information, culture and recreation [51, 71]",646.01
2003,Prince Edward Island,"Information, culture and recreation [51, 71]",641.79
2004,Prince Edward Island,"Information, culture and recreation [51, 71]",667.98
2005,Prince Edward Island,"Information, culture and recreation [51, 71]",675.85
2006,Prince Edward Island,"Information, culture and recreation [51, 71]",715.26
2007,Prince Edward Island,"Information, culture and recreation [51, 71]",759.41
2008,Prince Edward Island,"Information, culture and recreation [51, 71]",773.38
2009,Prince Edward Island,"Information, culture and recreation [51, 71]",768.53
2010,Prince Edward Island,"Information, culture and recreation [51, 71]",809.59
2011,Prince Edward Island,"Information, culture and recreation [51, 71]",786.11
2012,Prince Edward Island,"Information, culture and recreation [51, 71]",834.33
2013,Prince Edward Island,"Information, culture and recreation [51, 71]",882.6
2014,Prince Edward Island,"Information, culture and recreation [51, 71]",913.87
2015,Prince Edward Island,"Information, culture and recreation [51, 71]",890.71
2016,Prince Edward Island,"Information, culture and recreation [51, 71]",928.78
2017,Prince Edward Island,"Information, culture and recreation [51, 71]",931.93
2018,Prince Edward Island,"Information, culture and recreation [51, 71]",1015.5
2019,Prince Edward Island,"Information, culture and recreation [51, 71]",1012
2020,Prince Edward Island,"Information, culture and recreation [51, 71]",980.01
1997,Quebec,"Information, culture and recreation [51, 71]",391.83
1998,Quebec,"Information, culture and recreation [51, 71]",414.32
1999,Quebec,"Information, culture and recreation [51, 71]",430.53
2000,Quebec,"Information, culture and recreation [51, 71]",467.34
2001,Quebec,"Information, culture and recreation [51, 71]",428.71
2002,Quebec,"Information, culture and recreation [51, 71]",444.1
2003,Quebec,"Information, culture and recreation [51, 71]",453.81
2004,Quebec,"Information, culture and recreation [51, 71]",520.1
2005,Quebec,"Information, culture and recreation [51, 71]",455.21
2006,Quebec,"Information, culture and recreation [51, 71]",504.6
2007,Quebec,"Information, culture and recreation [51, 71]",542.82
2008,Quebec,"Information, culture and recreation [51, 71]",595.33
2009,Quebec,"Information, culture and recreation [51, 71]",604.04
2010,Quebec,"Information, culture and recreation [51, 71]",614.87
2011,Quebec,"Information, culture and recreation [51, 71]",641.89
2012,Quebec,"Information, culture and recreation [51, 71]",683.02
2013,Quebec,"Information, culture and recreation [51, 71]",653.92
2014,Quebec,"Information, culture and recreation [51, 71]",680.25
2015,Quebec,"Information, culture and recreation [51, 71]",723.24
2016,Quebec,"Information, culture and recreation [51, 71]",724.23
2017,Quebec,"Information, culture and recreation [51, 71]",699.08
2018,Quebec,"Information, culture and recreation [51, 71]",707.85
2019,Quebec,"Information, culture and recreation [51, 71]",727.44
2020,Quebec,"Information, culture and recreation [51, 71]",824.95
1997,Saskatchewan,"Information, culture and recreation [51, 71]",547.71
1998,Saskatchewan,"Information, culture and recreation [51, 71]",627.83
1999,Saskatchewan,"Information, culture and recreation [51, 71]",623.01
2000,Saskatchewan,"Information, culture and recreation [51, 71]",667.14
2001,Saskatchewan,"Information, culture and recreation [51, 71]",711.37
2002,Saskatchewan,"Information, culture and recreation [51, 71]",768.33
2003,Saskatchewan,"Information, culture and recreation [51, 71]",818.5
2004,Saskatchewan,"Information, culture and recreation [51, 71]",746.85
2005,Saskatchewan,"Information, culture and recreation [51, 71]",830.54
2006,Saskatchewan,"Information, culture and recreation [51, 71]",821.32
2007,Saskatchewan,"Information, culture and recreation [51, 71]",876.68
2008,Saskatchewan,"Information, culture and recreation [51, 71]",855.26
2009,Saskatchewan,"Information, culture and recreation [51, 71]",933.87
2010,Saskatchewan,"Information, culture and recreation [51, 71]",993.96
2011,Saskatchewan,"Information, culture and recreation [51, 71]",904.78
2012,Saskatchewan,"Information, culture and recreation [51, 71]",960.35
2013,Saskatchewan,"Information, culture and recreation [51, 71]",958.45
2014,Saskatchewan,"Information, culture and recreation [51, 71]",1093.88
2015,Saskatchewan,"Information, culture and recreation [51, 71]",1002.92
2016,Saskatchewan,"Information, culture and recreation [51, 71]",1105.21
2017,Saskatchewan,"Information, culture and recreation [51, 71]",1133.88
2018,Saskatchewan,"Information, culture and recreation [51, 71]",1145.44
2019,Saskatchewan,"Information, culture and recreation [51, 71]",1149.3
2020,Saskatchewan,"Information, culture and recreation [51, 71]",1236.56
1997,Alberta,Manufacturing [31-33],561.62
1998,Alberta,Manufacturing [31-33],596.21
1999,Alberta,Manufacturing [31-33],650.91
2000,Alberta,Manufacturing [31-33],626.76
2001,Alberta,Manufacturing [31-33],660.47
2002,Alberta,Manufacturing [31-33],701.21
2003,Alberta,Manufacturing [31-33],666.53
2004,Alberta,Manufacturing [31-33],702.01
2005,Alberta,Manufacturing [31-33],753.01
2006,Alberta,Manufacturing [31-33],734.53
2007,Alberta,Manufacturing [31-33],775.01
2008,Alberta,Manufacturing [31-33],729.63
2009,Alberta,Manufacturing [31-33],794.51
2010,Alberta,Manufacturing [31-33],803.98
2011,Alberta,Manufacturing [31-33],822.75
2012,Alberta,Manufacturing [31-33],884.14
2013,Alberta,Manufacturing [31-33],885.43
2014,Alberta,Manufacturing [31-33],900.66
2015,Alberta,Manufacturing [31-33],982.65
2016,Alberta,Manufacturing [31-33],993.7
2017,Alberta,Manufacturing [31-33],972.73
2018,Alberta,Manufacturing [31-33],987.31
2019,Alberta,Manufacturing [31-33],1021.17
2020,Alberta,Manufacturing [31-33],1010.36
1997,British Columbia,Manufacturing [31-33],341.07
1998,British Columbia,Manufacturing [31-33],354.11
1999,British Columbia,Manufacturing [31-33],361.25
2000,British Columbia,Manufacturing [31-33],372.65
2001,British Columbia,Manufacturing [31-33],386.73
2002,British Columbia,Manufacturing [31-33],399.47
2003,British Columbia,Manufacturing [31-33],415.89
2004,British Columbia,Manufacturing [31-33],425.52
2005,British Columbia,Manufacturing [31-33],453.33
2006,British Columbia,Manufacturing [31-33],451.49
2007,British Columbia,Manufacturing [31-33],490.03
2008,British Columbia,Manufacturing [31-33],488.35
2009,British Columbia,Manufacturing [31-33],499.78
2010,British Columbia,Manufacturing [31-33],528.53
2011,British Columbia,Manufacturing [31-33],531.3
2012,British Columbia,Manufacturing [31-33],547.63
2013,British Columbia,Manufacturing [31-33],559.83
2014,British Columbia,Manufacturing [31-33],598.71
2015,British Columbia,Manufacturing [31-33],584.92
2016,British Columbia,Manufacturing [31-33],585.36
2017,British Columbia,Manufacturing [31-33],599.71
2018,British Columbia,Manufacturing [31-33],652.54
2019,British Columbia,Manufacturing [31-33],619.72
2020,British Columbia,Manufacturing [31-33],660.51
1997,Manitoba,Manufacturing [31-33],270.16
1998,Manitoba,Manufacturing [31-33],292.56
1999,Manitoba,Manufacturing [31-33],292.62
2000,Manitoba,Manufacturing [31-33],294.89
2001,Manitoba,Manufacturing [31-33],300.27
2002,Manitoba,Manufacturing [31-33],307.76
2003,Manitoba,Manufacturing [31-33],324.79
2004,Manitoba,Manufacturing [31-33],322.06
2005,Manitoba,Manufacturing [31-33],339.26
2006,Manitoba,Manufacturing [31-33],341.25
2007,Manitoba,Manufacturing [31-33],348.39
2008,Manitoba,Manufacturing [31-33],355.66
2009,Manitoba,Manufacturing [31-33],371.22
2010,Manitoba,Manufacturing [31-33],373.47
2011,Manitoba,Manufacturing [31-33],384.07
2012,Manitoba,Manufacturing [31-33],408.99
2013,Manitoba,Manufacturing [31-33],405.1
2014,Manitoba,Manufacturing [31-33],420.73
2015,Manitoba,Manufacturing [31-33],416.5
2016,Manitoba,Manufacturing [31-33],411.73
2017,Manitoba,Manufacturing [31-33],445.44
2018,Manitoba,Manufacturing [31-33],481.64
2019,Manitoba,Manufacturing [31-33],489.4
2020,Manitoba,Manufacturing [31-33],498.94
1997,New Brunswick,Manufacturing [31-33],429.62
1998,New Brunswick,Manufacturing [31-33],446.28
1999,New Brunswick,Manufacturing [31-33],452.17
2000,New Brunswick,Manufacturing [31-33],456.26
2001,New Brunswick,Manufacturing [31-33],489.23
2002,New Brunswick,Manufacturing [31-33],510.28
2003,New Brunswick,Manufacturing [31-33],522.9
2004,New Brunswick,Manufacturing [31-33],530.17
2005,New Brunswick,Manufacturing [31-33],515.63
2006,New Brunswick,Manufacturing [31-33],547.46
2007,New Brunswick,Manufacturing [31-33],576.9
2008,New Brunswick,Manufacturing [31-33],598.28
2009,New Brunswick,Manufacturing [31-33],614.64
2010,New Brunswick,Manufacturing [31-33],605.16
2011,New Brunswick,Manufacturing [31-33],620.04
2012,New Brunswick,Manufacturing [31-33],658.56
2013,New Brunswick,Manufacturing [31-33],645.07
2014,New Brunswick,Manufacturing [31-33],687.4
2015,New Brunswick,Manufacturing [31-33],675.06
2016,New Brunswick,Manufacturing [31-33],677.52
2017,New Brunswick,Manufacturing [31-33],699.85
2018,New Brunswick,Manufacturing [31-33],785.72
2019,New Brunswick,Manufacturing [31-33],800.51
2020,New Brunswick,Manufacturing [31-33],830.04
1997,Newfoundland and Labrador,Manufacturing [31-33],703.11
1998,Newfoundland and Labrador,Manufacturing [31-33],720.86
1999,Newfoundland and Labrador,Manufacturing [31-33],732.6
2000,Newfoundland and Labrador,Manufacturing [31-33],761.9
2001,Newfoundland and Labrador,Manufacturing [31-33],780.7
2002,Newfoundland and Labrador,Manufacturing [31-33],799.59
2003,Newfoundland and Labrador,Manufacturing [31-33],812.35
2004,Newfoundland and Labrador,Manufacturing [31-33],825.65
2005,Newfoundland and Labrador,Manufacturing [31-33],861.85
2006,Newfoundland and Labrador,Manufacturing [31-33],870.9
2007,Newfoundland and Labrador,Manufacturing [31-33],891.66
2008,Newfoundland and Labrador,Manufacturing [31-33],931.36
2009,Newfoundland and Labrador,Manufacturing [31-33],949.13
2010,Newfoundland and Labrador,Manufacturing [31-33],955.59
2011,Newfoundland and Labrador,Manufacturing [31-33],980.67
2012,Newfoundland and Labrador,Manufacturing [31-33],986.93
2013,Newfoundland and Labrador,Manufacturing [31-33],1015.96
2014,Newfoundland and Labrador,Manufacturing [31-33],1036.58
2015,Newfoundland and Labrador,Manufacturing [31-33],1107.32
2016,Newfoundland and Labrador,Manufacturing [31-33],1107.39
2017,Newfoundland and Labrador,Manufacturing [31-33],1098.92
2018,Newfoundland and Labrador,Manufacturing [31-33],1143.69
2019,Newfoundland and Labrador,Manufacturing [31-33],1199.27
2020,Newfoundland and Labrador,Manufacturing [31-33],1232.31
1997,Nova Scotia,Manufacturing [31-33],780.98
1998,Nova Scotia,Manufacturing [31-33],764.43
1999,Nova Scotia,Manufacturing [31-33],779.66
2000,Nova Scotia,Manufacturing [31-33],792.98
2001,Nova Scotia,Manufacturing [31-33],781.96
2002,Nova Scotia,Manufacturing [31-33],799.28
2003,Nova Scotia,Manufacturing [31-33],821.85
2004,Nova Scotia,Manufacturing [31-33],834.17
2005,Nova Scotia,Manufacturing [31-33],875.62
2006,Nova Scotia,Manufacturing [31-33],885.84
2007,Nova Scotia,Manufacturing [31-33],906.34
2008,Nova Scotia,Manufacturing [31-33],947.54
2009,Nova Scotia,Manufacturing [31-33],966.1
2010,Nova Scotia,Manufacturing [31-33],1023.5
2011,Nova Scotia,Manufacturing [31-33],1034.7
2012,Nova Scotia,Manufacturing [31-33],1080.43
2013,Nova Scotia,Manufacturing [31-33],1092.94
2014,Nova Scotia,Manufacturing [31-33],1090.21
2015,Nova Scotia,Manufacturing [31-33],1114.86
2016,Nova Scotia,Manufacturing [31-33],1152.03
2017,Nova Scotia,Manufacturing [31-33],1130.62
2018,Nova Scotia,Manufacturing [31-33],1146.89
2019,Nova Scotia,Manufacturing [31-33],1176.9
2020,Nova Scotia,Manufacturing [31-33],1273.13
1997,Ontario,Manufacturing [31-33],670.43
1998,Ontario,Manufacturing [31-33],680.78
1999,Ontario,Manufacturing [31-33],728.02
2000,Ontario,Manufacturing [31-33],746.77
2001,Ontario,Manufacturing [31-33],779.97
2002,Ontario,Manufacturing [31-33],805.72
2003,Ontario,Manufacturing [31-33],801.83
2004,Ontario,Manufacturing [31-33],829.76
2005,Ontario,Manufacturing [31-33],859.53
2006,Ontario,Manufacturing [31-33],900.1
2007,Ontario,Manufacturing [31-33],932.82
2008,Ontario,Manufacturing [31-33],980.25
2009,Ontario,Manufacturing [31-33],969.6
2010,Ontario,Manufacturing [31-33],964.1
2011,Ontario,Manufacturing [31-33],1012.04
2012,Ontario,Manufacturing [31-33],1069.23
2013,Ontario,Manufacturing [31-33],1050.66
2014,Ontario,Manufacturing [31-33],1115.12
2015,Ontario,Manufacturing [31-33],1144.54
2016,Ontario,Manufacturing [31-33],1190.21
2017,Ontario,Manufacturing [31-33],1194.37
2018,Ontario,Manufacturing [31-33],1235.61
2019,Ontario,Manufacturing [31-33],1274.92
2020,Ontario,Manufacturing [31-33],1365.44
1997,Prince Edward Island,Manufacturing [31-33],569.37
1998,Prince Edward Island,Manufacturing [31-33],564.74
1999,Prince Edward Island,Manufacturing [31-33],578.94
2000,Prince Edward Island,Manufacturing [31-33],593.51
2001,Prince Edward Island,Manufacturing [31-33],626.47
2002,Prince Edward Island,Manufacturing [31-33],650.51
2003,Prince Edward Island,Manufacturing [31-33],652.22
2004,Prince Edward Island,Manufacturing [31-33],689.03
2005,Prince Edward Island,Manufacturing [31-33],712.24
2006,Prince Edward Island,Manufacturing [31-33],732.42
2007,Prince Edward Island,Manufacturing [31-33],761.12
2008,Prince Edward Island,Manufacturing [31-33],795.42
2009,Prince Edward Island,Manufacturing [31-33],820.69
2010,Prince Edward Island,Manufacturing [31-33],832.03
2011,Prince Edward Island,Manufacturing [31-33],861.16
2012,Prince Edward Island,Manufacturing [31-33],868.23
2013,Prince Edward Island,Manufacturing [31-33],884.41
2014,Prince Edward Island,Manufacturing [31-33],872.44
2015,Prince Edward Island,Manufacturing [31-33],897.42
2016,Prince Edward Island,Manufacturing [31-33],920.75
2017,Prince Edward Island,Manufacturing [31-33],945.97
2018,Prince Edward Island,Manufacturing [31-33],984.21
2019,Prince Edward Island,Manufacturing [31-33],984.04
2020,Prince Edward Island,Manufacturing [31-33],1045
1997,Quebec,Manufacturing [31-33],611.08
1998,Quebec,Manufacturing [31-33],633.91
1999,Quebec,Manufacturing [31-33],651.16
2000,Quebec,Manufacturing [31-33],637.3
2001,Quebec,Manufacturing [31-33],694.74
2002,Quebec,Manufacturing [31-33],640.18
2003,Quebec,Manufacturing [31-33],647.03
2004,Quebec,Manufacturing [31-33],676.28
2005,Quebec,Manufacturing [31-33],703.26
2006,Quebec,Manufacturing [31-33],719.39
2007,Quebec,Manufacturing [31-33],749.96
2008,Quebec,Manufacturing [31-33],766.73
2009,Quebec,Manufacturing [31-33],766.74
2010,Quebec,Manufacturing [31-33],784.15
2011,Quebec,Manufacturing [31-33],817.53
2012,Quebec,Manufacturing [31-33],808.71
2013,Quebec,Manufacturing [31-33],835.87
2014,Quebec,Manufacturing [31-33],810.25
2015,Quebec,Manufacturing [31-33],882.31
2016,Quebec,Manufacturing [31-33],844.07
2017,Quebec,Manufacturing [31-33],827.02
2018,Quebec,Manufacturing [31-33],859.87
2019,Quebec,Manufacturing [31-33],894.63
2020,Quebec,Manufacturing [31-33],1104.24
1997,Saskatchewan,Manufacturing [31-33],692.29
1998,Saskatchewan,Manufacturing [31-33],693.83
1999,Saskatchewan,Manufacturing [31-33],712.31
2000,Saskatchewan,Manufacturing [31-33],750.33
2001,Saskatchewan,Manufacturing [31-33],771.94
2002,Saskatchewan,Manufacturing [31-33],777.92
2003,Saskatchewan,Manufacturing [31-33],797.69
2004,Saskatchewan,Manufacturing [31-33],814.44
2005,Saskatchewan,Manufacturing [31-33],835.15
2006,Saskatchewan,Manufacturing [31-33],881.09
2007,Saskatchewan,Manufacturing [31-33],888.68
2008,Saskatchewan,Manufacturing [31-33],921.24
2009,Saskatchewan,Manufacturing [31-33],930.14
2010,Saskatchewan,Manufacturing [31-33],952.44
2011,Saskatchewan,Manufacturing [31-33],948.29
2012,Saskatchewan,Manufacturing [31-33],952.72
2013,Saskatchewan,Manufacturing [31-33],976.9
2014,Saskatchewan,Manufacturing [31-33],992.01
2015,Saskatchewan,Manufacturing [31-33],1006.69
2016,Saskatchewan,Manufacturing [31-33],1005.54
2017,Saskatchewan,Manufacturing [31-33],999.36
2018,Saskatchewan,Manufacturing [31-33],1039.9
2019,Saskatchewan,Manufacturing [31-33],1097.4
2020,Saskatchewan,Manufacturing [31-33],1133.6
1997,Alberta,Other services (except public administration) [81],485.47
1998,Alberta,Other services (except public administration) [81],506.1
1999,Alberta,Other services (except public administration) [81],512.38
2000,Alberta,Other services (except public administration) [81],547.32
2001,Alberta,Other services (except public administration) [81],559.65
2002,Alberta,Other services (except public administration) [81],566.2
2003,Alberta,Other services (except public administration) [81],583.8
2004,Alberta,Other services (except public administration) [81],584.48
2005,Alberta,Other services (except public administration) [81],632.11
2006,Alberta,Other services (except public administration) [81],622.02
2007,Alberta,Other services (except public administration) [81],637.37
2008,Alberta,Other services (except public administration) [81],626.71
2009,Alberta,Other services (except public administration) [81],689.76
2010,Alberta,Other services (except public administration) [81],653
2011,Alberta,Other services (except public administration) [81],711.42
2012,Alberta,Other services (except public administration) [81],755.62
2013,Alberta,Other services (except public administration) [81],791.68
2014,Alberta,Other services (except public administration) [81],774.38
2015,Alberta,Other services (except public administration) [81],782.34
2016,Alberta,Other services (except public administration) [81],795.05
2017,Alberta,Other services (except public administration) [81],809.12
2018,Alberta,Other services (except public administration) [81],857.28
2019,Alberta,Other services (except public administration) [81],882.4
2020,Alberta,Other services (except public administration) [81],986
1997,British Columbia,Other services (except public administration) [81],742.52
1998,British Columbia,Other services (except public administration) [81],743.9
1999,British Columbia,Other services (except public administration) [81],835.05
2000,British Columbia,Other services (except public administration) [81],883.61
2001,British Columbia,Other services (except public administration) [81],901.7
2002,British Columbia,Other services (except public administration) [81],934.72
2003,British Columbia,Other services (except public administration) [81],926.08
2004,British Columbia,Other services (except public administration) [81],966.75
2005,British Columbia,Other services (except public administration) [81],998.5
2006,British Columbia,Other services (except public administration) [81],1019.7
2007,British Columbia,Other services (except public administration) [81],1074.53
2008,British Columbia,Other services (except public administration) [81],1112.71
2009,British Columbia,Other services (except public administration) [81],1103.6
2010,British Columbia,Other services (except public administration) [81],1094.9
